Seniority Level,Position,Is Job Related to Innovation,Department,Industry,Employee,Country,Tenure
,DIRECCION,,,Life Science & Healthcare,,Colombia,More than 5 years
,Directora Unidad de Finanzas Estructuradas,,,IT & Telecommunications,,Colombia,1 to 3 years
,Analista de Procesos,,,Finance & Insurance,,Colombia,1 to 3 years
,Administrador de pricing personas,,,,,Colombia,More than 5 years
,Auxiliar de servicios ,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de tecnología.,,,IT & Telecommunications,,Colombia,More than 5 years
,Analista Senior,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar en devolución ,,,,,,More than 5 years
,"Desarrollar las estrategias de movilización de seguros a través de canales digitales, canal presencial, TMK y nuevos canales de venta de seguros. Generando rentabilidad para el banco y buscando alta satisfacción del cliente, fortaleciendo las capacidades del negocio y alineándola a la estrategia digital del banco y las aseguradoras. Buscando constantemente la innovación en los canales mencionados a través de productos y procesos 100% digitales.",,,Finance & Insurance,,Colombia,More than 5 years
,Desarrollador Edge Junior,,,Finance & Insurance,,Colombia,Less than 1 year
,"Coordinar de servicio ""Líder transformador""",,,Finance & Insurance,,Colombia,More than 5 years
,Analista Análisis y Presupuesto,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista de implementación,,,Finance & Insurance,,Colombia,More than 5 years
,Analista profesional,,,Finance & Insurance,,Colombia,Less than 1 year
,SCRUM MASTER,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de procesos,,,Finance & Insurance,,Colombia,More than 5 years
,analistia senior de analitica,,,Finance & Insurance,,Colombia,1 to 3 years
,ANALISTA,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Apoyar a los procesos en el mantenimiento de las estrategias de continuidad del negocio,,,Finance & Insurance,,Colombia,More than 5 years
,PMO Controller ,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior de Reimaginación de Procesos,,,Finance & Insurance,,Colombia,More than 5 years
,AUXILIAR EMBARGOS ,,,Finance & Insurance,,Colombia,More than 5 years
,Lider Técnico de proyectos,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Coordinador Nacional de Implementación SAES,,,IT & Telecommunications,,Colombia,More than 5 years
,COORDINADOR DE PROYECTOS,,,Finance & Insurance,,Colombia,More than 5 years
,QA Manual,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,auxiliar de embargos,,,Finance & Insurance,,Colombia,1 to 3 years
,Gerente nacional de Constructor e inmobiliario,,,Finance & Insurance,,Colombia,More than 5 years
,auxiliar ,,,Automotive,,Colombia,Less than 1 year
,Apoyar la gestión de Analítica Avanzada a nivel de arquitectura de datos y disposición de información ,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista Profesional,,,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar de Servicio UCC,,,Finance & Insurance,,Colombia,More than 5 years
Senior Management,Agent,I support innovation projects,Human Resources (HR),,,,
,Analista Senior de Procesos de Crédito,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar UCC,,,Finance & Insurance,,Colombia,Less than 1 year
,Especialista Cash,,,Finance & Insurance,,Colombia,More than 5 years
,Director Riesgo Balance y Liquidez,,,IT & Telecommunications,,,More than 5 years
,Auxiliar de servicio UCC,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinación de Servicios,,"Procurement, Supply Chain & Logistics",Finance & Insurance,,Colombia,More than 5 years
,"Líder con un equipo a cargo, el cual debo orientar a lograr las mestas organizaciones y personales",,,Finance & Insurance,,Colombia,3 to 5 years
,Scrum Master,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de Servicio UCC,,,,,,Less than 1 year
,Líder Técnico,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,ESPCIALISTA CASH MANAGEMENT,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior DRP,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Ejecutivo de Estrategia,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,Analista de Reimaginación de Procesos,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar UCC,,,Finance & Insurance,,Colombia,Less than 1 year
,Product Owner ,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar pyme,,,Finance & Insurance,,Colombia,More than 5 years
,Asegurar que los resultados de cifras sean entregados con oportunidad y calidad a las diferentes áreas o entidades que lo requieran.,,,IT & Telecommunications,,Colombia,More than 5 years
,directora,,,Finance & Insurance,,Colombia,More than 5 years
,Product Owner,,,Finance & Insurance,,Colombia,More than 5 years
,Director Compensación Electrónica,,,Finance & Insurance,,Colombia,More than 5 years
,Mi rol actual es principal en el área debido a que realizo actividades fundamentales ,,Audit & Risk Management,Automotive,,Colombia,1 to 3 years
,Especialista de Selección y Desarrollo,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinadora de impuestos directos,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Procesos,,Research & Development (R&D),Finance & Insurance,,Colombia,1 to 3 years
,Coordinadora de Convenios de Libranza,,Finance & Administration,Finance & Insurance,,Colombia,More than 5 years
,AUXILIAR DE SERVICIOS UCC,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista de seleccion y desarollo,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,Gestor,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,auxiliar de selección ,,,Finance & Insurance,,Colombia,More than 5 years
,auxiliar de servicios ,,,IT & Telecommunications,,Colombia,More than 5 years
,Auxiliar de selección,,Product Management,Finance & Insurance,,Colombia,Less than 1 year
,Analista de tecnología,,Facilities & Real Estate,IT & Telecommunications,,Colombia,1 to 3 years
,Auxiliar de UCC,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista de producto,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista procesos ( automatizacion),,,Finance & Insurance,,Colombia,Less than 1 year
,Brindar apoyo a los comerciales de la BE en diferentes procesos que contribuyan a la productividad en temas comerciales.,,,Finance & Insurance,,Colombia,More than 5 years
,Director PyG Financiero y Riesgo Filiales,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Profesional,,,Finance & Insurance,,Colombia,Less than 1 year
,Aux mesa de control,,,,,,Less than 1 year
,"Rol de Acción, impulsa el desarrollo y solución de una tarea",,,IT & Telecommunications,,Colombia,Less than 1 year
,QA Automation,,,Finance & Insurance,,Colombia,More than 5 years
,COORDINADOR,,,Finance & Insurance,,Colombia,More than 5 years
,Scrum Master,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Profesional,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior,,Strategy,Finance & Insurance,,Colombia,More than 5 years
,Analista,,,Finance & Insurance,,Colombia,1 to 3 years
,Gerente de Zona en la Unidad de Normalizacion administrando y gestionando  la cartera vencida del Banco,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de operaciones nacionales ,,,Finance & Insurance,,Colombia,3 to 5 years
,AUXILIAR DE SERVICIO UCC,,,Finance & Insurance,,Colombia,More than 5 years
,Gestor SST,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista de Tecnología.,,Customer Service,Finance & Insurance,,Colombia,Less than 1 year
,,,,Finance & Insurance,,Colombia,More than 5 years
,"Líder de la dirección Analítica de Negocio y CRM Empresas, Product Owner Proyecto CRM Siebel, Líder Dominio Vista 360, Administrador Dominios Cliente, Cunetas, Segmentos y Campañas, Líder Proyecto Vp Empresas",,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar administrativa impuesto vehicular de Antioquia,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista Funcional,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista de Calidad de Datos,,,Finance & Insurance,,,More than 5 years
,analista,,,Finance & Insurance,,Colombia,More than 5 years
,ANALISTA CONTABLE,,,Finance & Insurance,,Colombia,3 to 5 years
,procesos administrativo.,,,Finance & Insurance,,Colombia,More than 5 years
,auxiliar,,Audit & Risk Management,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar SAE Impuesto Vehicular de Antioquia,,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar de seguridad y salud en el trabajo ,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinador de compras,,Human Resources (HR),Finance & Insurance,,Colombia,3 to 5 years
,"en la organización soy analista de evaluación, dentro del equipo son el líder de la célula de nuevos, alcances y de baja.  ",,,Finance & Insurance,,Colombia,More than 5 years
,Especialista de riesgo operacional (Optimización de procesos),,Information Technology (IT),Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar ,,,Finance & Insurance,,Colombia,3 to 5 years
,product owner,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de servicios,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar CRM,,,Finance & Insurance,,Colombia,1 to 3 years
,,,,,,,
,división de operaciones ,,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar Operativo,,,Finance & Insurance,,Colombia,1 to 3 years
,auxiliar de servicios ucc,,,IT & Telecommunications,,Colombia,More than 5 years
,Desarrollador de Software,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista profesional Tecnología,,,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar de servicios UCC,,,Finance & Insurance,,Colombia,3 to 5 years
,,,,,,,
,Administrador de Base de Datos SARC,,,IT & Telecommunications,,Colombia,3 to 5 years
,Analista de Tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Especialista ambiente laboral,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,analista senior de desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar de servicios UCC,,,IT & Telecommunications,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,3 to 5 years
,Coordinador de Soporte Tecnologico,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Supernumerario SAES,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista de tecnología,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista de Negocio,,,Finance & Insurance,,Colombia,More than 5 years
,,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Funcional,,,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar de servicio ,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar Mesa Control SAE,,,Finance & Insurance,,Colombia,Less than 1 year
,Director de Servicio Red de Oficinas ,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinadore de Selección,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,GESTOR DE SERVICIO UCC,,,Finance & Insurance,,Colombia,More than 5 years
,Produc Owner,,,Finance & Insurance,,Colombia,More than 5 years
,Analista ,,Project or Program Management,Finance & Insurance,,Colombia,Less than 1 year
,Coordinadora de servicio ,,,Finance & Insurance,,Colombia,More than 5 years
,,,,,,,
,Movilización de 5 productos dentro del Banco y clientes Empresariales,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior Entrenamiento Comercial,,,Finance & Insurance,,Colombia,More than 5 years
,Supervisor saes,,Audit & Risk Management,Finance & Insurance,,Colombia,1 to 3 years
,DIRECTOR SARLAFT Y FILIALES,,,IT & Telecommunications,,Colombia,More than 5 years
,Jefe - coordinador de Activos Fijos,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar Banca Corporativa e Institucional,,,Finance & Insurance,,Colombia,Less than 1 year
,Auxiliar en ciencia de datos,,,Finance & Insurance,,Colombia,Less than 1 year
,directora encargada de proceso empresas-apoyo,,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar Saes,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista,,Facilities & Real Estate,Engineering & Manufacturing,,Colombia,1 to 3 years
,Soy especialista ,,,Finance & Insurance,,Colombia,More than 5 years
,Gestor de Operaciones,,,Finance & Insurance,,Colombia,More than 5 years
,Analista de selección y desarrollo,,Product Management,Finance & Insurance,,Colombia,Less than 1 year
,Analista de desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista de Procesos,,,IT & Telecommunications,,Colombia,1 to 3 years
,auxiliar servicio ucc embargos,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de servicios UCC,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista de Reimaginación ,,,Finance & Insurance,,Colombia,3 to 5 years
,"COORDINADORA DE RESDESCUENTOS, LIDER EN PROCESOS OPERATIVOS",,,Finance & Insurance,,Colombia,More than 5 years
,Líder del equipo QA,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar operaciones nacionales,,Audit & Risk Management,Finance & Insurance,,Colombia,Less than 1 year
,"Lidero el area de normas  y cumplimiento,  apoyamos trasnsversalmente a las areas del Banco  en el reconocimiento contable  de los hechos economicos  velando por  el cumplimiento de la politica y la norma contable.",,,IT & Telecommunications,,Colombia,More than 5 years
,Analista de Tecnología,,,Finance & Insurance,,Colombia,Less than 1 year
,Ingeniero de datos,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,QA Automation ,,,Finance & Insurance,,Colombia,1 to 3 years
,aux de operaciones ucc,,,Finance & Insurance,,Colombia,3 to 5 years
,,,,Finance & Insurance,,Colombia,Less than 1 year
,Directora,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,soy auxiliar realizo temas secretariales a la gerente de división y apoyo a las areas de soporte a ventas y estrategia de la banca corporativa e institucional ,,,Finance & Insurance,,Colombia,More than 5 years
,Gestor de Comunicaciones Internas,,,Finance & Insurance,,Colombia,Less than 1 year
,ANALISTA DE NORMALIZACION ,,,Finance & Insurance,,Colombia,More than 5 years
,Director ,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinar y cumplir con calidad y oportunidad procesos operativos,,,Finance & Insurance,,Colombia,More than 5 years
,auxiliar de servicio ucc,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,auxiliar operaciones nacionales ,,,Finance & Insurance,,Colombia,1 to 3 years
,Scrum Master ,,Customer Service,Finance & Insurance,,Colombia,More than 5 years
,Aux de Impuestos y Devolucion ,,,IT & Telecommunications,,Colombia,3 to 5 years
,Gestor operativo,,Audit & Risk Management,Finance & Insurance,,Colombia,3 to 5 years
,Analista ,,,Finance & Insurance,,Colombia,3 to 5 years
,Directora,,,IT & Telecommunications,,Colombia,More than 5 years
,Auxiliar Administrativo,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista Senior de Desarrollo - Dev Team,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Profesional en Entrenamiento,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista de ingeniería.,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista funcional de tecnología - DEV Team,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Creatividad y desarrollo de comunicaciones impresas y digitales,,Production,Finance & Insurance,,,More than 5 years
,Analista Profesional,,,Finance & Insurance,,Colombia,More than 5 years
,AUXILIAR DE SERVICIOS,,,Finance & Insurance,,Colombia,More than 5 years
,analista funcional,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista Senior Tecnología,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista de Ambiente de Laboral,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de operaciones nacionales,,Audit & Risk Management,Finance & Insurance,,Colombia,1 to 3 years
,Responsable del área tributaria,,Audit & Risk Management,Finance & Insurance,,Colombia,3 to 5 years
,coordinador de proyectos,,,Finance & Insurance,,Colombia,More than 5 years
,Analista senior de tecnología ,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista de información ,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Directora de operaciones ,,,Finance & Insurance,,Colombia,More than 5 years
,Director ABAC,,Marketing & Communications,Finance & Insurance,,Colombia,More than 5 years
,Analista de Tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,EJECUTIVA PYME,,,IT & Telecommunications,,Colombia,More than 5 years
,Dirección,,,Finance & Insurance,,Colombia,More than 5 years
,Profesional en practica del area de productos y canales,,,Finance & Insurance,,Colombia,Less than 1 year
,analista profesional de ingeniería ,,,Finance & Insurance,,Colombia,Less than 1 year
,,,,Finance & Insurance,,Colombia,More than 5 years
,Director,,Information Technology (IT),Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de Productividad,,,Finance & Insurance,,Colombia,3 to 5 years
,Directora de Soporte a Ventas,,Production,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar Recursos humanos ,,Product Management,Finance & Insurance,,Colombia,3 to 5 years
,Analista profesional,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,auxiliar SAES,,,Finance & Insurance,,Colombia,1 to 3 years
,"Administrador de procesos de crédito, participo en proyectos e ideas de mejora para Crédito",,,Finance & Insurance,,Colombia,More than 5 years
,Director Factoring,,Project or Program Management,IT & Telecommunications,,Colombia,More than 5 years
,Auxiliar UCC,,Audit & Risk Management,Finance & Insurance,,Colombia,Less than 1 year
,,,,Finance & Insurance,,Colombia,More than 5 years
,Developer profesional,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,coordinadora de comunicaciones,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior SAES,,,Finance & Insurance,,Colombia,More than 5 years
,Desarrollador,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Analista profesional,,Information Technology (IT),Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de Operaciones Nacionales,,,IT & Telecommunications,,Colombia,Less than 1 year
,Gestor operativo de activos leasing,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista Selección y Desarrollo,,Product Management,Finance & Insurance,,Colombia,More than 5 years
,Coordinador Comercial Leasing ,,,Finance & Insurance,,Colombia,More than 5 years
,ejecutivo comercial ,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista SAV,,,Finance & Insurance,,Colombia,3 to 5 years
,Analista de desarrollo,,,Finance & Insurance,,Colombia,More than 5 years
,Analista ,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista de soporte tecnologico,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,,,,,,,
,Analista,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
Middle Management,,I lead innovation projects,,,,,3 to 5 years
,Analista de Riesgo de Crédito,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista QA,,Facilities & Real Estate,IT & Telecommunications,,Colombia,Less than 1 year
,ANALISTA SENIOR,,,Finance & Insurance,,Colombia,More than 5 years
,Developer en la célula de productos del pasivo - Banca personas,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Supervisor Saes,,,Automotive,,,More than 5 years
,Gestión de proyectos,,,Finance & Insurance,,Colombia,3 to 5 years
,Abogada Concursal ,,,Finance & Insurance,,Colombia,More than 5 years
,Analista senior de Tecnología ,,,Finance & Insurance,,Colombia,Less than 1 year
,Coordinadora de Planeacion en la Unidad de Desarrollo ODS,,,Government,,Colombia,1 to 3 years
,Director de Operaciones Seguros y Garantias,,,Finance & Insurance,,Colombia,More than 5 years
,Analista,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista CdC Lean de Procesos y Automatización,,,Finance & Insurance,,Colombia,More than 5 years
,director de seguridad zona 1,,,Finance & Insurance,,Colombia,More than 5 years
,ANALISTA ADMINISTRATIVO Y FINANCIERO,,,IT & Telecommunications,,Colombia,More than 5 years
,Auxiliar Operaciones Nacionales,,,Finance & Insurance,,Colombia,1 to 3 years
,Administrador,,,Finance & Insurance,,Colombia,1 to 3 years
,Director Ingeniería de Productos,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinador de Productos BE,,Project or Program Management,Finance & Insurance,,Colombia,More than 5 years
,Analista,,,Finance & Insurance,,Colombia,More than 5 years
,Asegurar y velar por la productividad y tiempos comerciales de la fuerza comercial. Asegurar la alineación de la Valoración del desempeño y la Compensación Variable de acuerdo con la estrategia de la Banca Empresas.,,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar Juridica,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista de Ingeniería,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista de proyectos del area SAES,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista de tecnología,,,,,Colombia,1 to 3 years
,Apoyar ,,,Finance & Insurance,,Colombia,Less than 1 year
,Lider QA,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista QA Tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista tecnología,,,Finance & Insurance,,Colombia,1 to 3 years
,QA Manual en calidad,,,Finance & Insurance,,Colombia,Less than 1 year
,Coordinador de Proyectos,,,Finance & Insurance,,Colombia,More than 5 years
,Director de analítica avanzada,,,Finance & Insurance,,Colombia,Less than 1 year
,Auditor Senior de Procecesos,,Information Technology (IT),Finance & Insurance,,Colombia,Less than 1 year
,Analista Profesional Producto Owner ,,Customer Service,Finance & Insurance,,Colombia,3 to 5 years
,Analista de tecnología,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista de productividad planeación financiera,,,Finance & Insurance,,Colombia,3 to 5 years
,Director de Auditoría Interna,,Information Technology (IT),Finance & Insurance,,Colombia,More than 5 years
,Gestor de servicios,,,,,,More than 5 years
,Analista,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Gerente comercial de Vehículos ,,,Finance & Insurance,,Colombia,More than 5 years
,Analista SAV  Banca Corporativa e institucional,,,Finance & Insurance,,Colombia,More than 5 years
,Supervisor Saes,,Project or Program Management,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar de operaciones en la UCC inspectoria,,,Finance & Insurance,,Colombia,More than 5 years
,auxiliar de servicios ucc cali,,,Finance & Insurance,,Colombia,More than 5 years
,Auxiliar de formacion,,Product Management,Finance & Insurance,,Colombia,Less than 1 year
,Master de Automatización de Procesos,,Research & Development (R&D),Finance & Insurance,,Colombia,More than 5 years
,Analista Master,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Arquitecto,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Coordinador de Operaciones de TC,,,Finance & Insurance,,Colombia,More than 5 years
,"mi papel principal es administrar y controlar el hardware  y software del banco, velando por el cumplimiento a nivel corporativo, legal y ético establecido en los contratos y manuales internos en cuando a adquisición, licenciamiento, manejo adecuado de las herramientas y su uso adecuado según el rol de cada funcionario. Dentro de mi rol me enfatizo en guiar a los funcionarios del Banco y proveedores respecto a los procedimientos de solicitud de software siempre con excelente atención y enfoque en garantizar que la información brindada sea clara y precisa. ",,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Analista Analisis y PPTO,,,Finance & Insurance,,Colombia,Less than 1 year
,,,,,,,
,"Hago parte del cambio, como auxiliar administrativa",,Audit & Risk Management,Finance & Insurance,,Colombia,Less than 1 year
,Supervisora Saes,,,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar administrativo ,,,Finance & Insurance,,,Less than 1 year
,Director zonal de Seguridad Bancaria y de la Información,,,Finance & Insurance,,Colombia,More than 5 years
,Directora de Proyectos,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,Analista senior de Calidad,,,Engineering & Manufacturing,,Colombia,3 to 5 years
,Analista de Proyectos,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista Senior Financiero,,,Finance & Insurance,,Colombia,3 to 5 years
,Diseñadora UX,,,Finance & Insurance,,Colombia,1 to 3 years
,Directora Comercial,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior Arquitectura,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Coordinador UCC,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,auxiliar de operaciones nacionales ,,,Finance & Insurance,,Colombia,Less than 1 year
,Director de Operaciones Tarjeta de Credito,,,Finance & Insurance,,Colombia,More than 5 years
,Analista tecnológico ,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,ANALISTA TECNOLOGIA,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Administrador financiero,,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar admnistrativo,,,IT & Telecommunications,,,Less than 1 year
,analista controllign ,,Audit & Risk Management,Finance & Insurance,,Colombia,3 to 5 years
,Lider de Proyectos,,,Finance & Insurance,,Colombia,More than 5 years
,Analista senior DevOps,,,Finance & Insurance,,Colombia,More than 5 years
,Ingeniero Senior en Sistemas ,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Diseñador UX,,,Finance & Insurance,,Colombia,1 to 3 years
,Analista Tecnología,,,Finance & Insurance,,Colombia,Less than 1 year
,Cientifico de datos ,,,Finance & Insurance,,Colombia,1 to 3 years
,Desarrollador,,Customer Service,Finance & Insurance,,Colombia,Less than 1 year
,Directora de Proyectos,,,Finance & Insurance,,Colombia,More than 5 years
,auxiliar operaciones nacionales,,,IT & Telecommunications,,Colombia,Less than 1 year
,Equipo de desarrollo,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista de tecnología,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Auxiliar de operaciones nacionales,,,Finance & Insurance,,Colombia,Less than 1 year
,,,,,,,
,Analista Senior,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior,,,Finance & Insurance,,Colombia,3 to 5 years
,Coordinador,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
,Científico de Datos,,,Finance & Insurance,,Colombia,1 to 3 years
,Directora,,,IT & Telecommunications,,Colombia,More than 5 years
,auxiliar operaciones nacionales,,,IT & Telecommunications,,Colombia,Less than 1 year
,Auxiliar de operaciones nacionales ,,,Finance & Insurance,,Colombia,Less than 1 year
,Analista Senior de Reimaginación,,,Finance & Insurance,,Colombia,3 to 5 years
,Desarrollador Junior ODS ETL,,Facilities & Real Estate,,,Colombia,Less than 1 year
,QA Automation,,,Finance & Insurance,,Colombia,1 to 3 years
,Auxiliar,,Audit & Risk Management,Finance & Insurance,,Colombia,More than 5 years
,Analista QA,,,Finance & Insurance,,Colombia,Less than 1 year
,Dirección de Gobierno y calidad de Información,,,Finance & Insurance,,Colombia,More than 5 years
,Coordinador de operaciones de seguros y garantías,,,Finance & Insurance,,Colombia,More than 5 years
,Analista Senior de Tecnología,,Facilities & Real Estate,IT & Telecommunications,,Colombia,Less than 1 year
,Analista Tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,ANALISTA SENIOR DE TECNOLOGIA,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,Scrum master,,Facilities & Real Estate,Finance & Insurance,,Colombia,1 to 3 years
,Coordinador de TI,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Desarrollador,,,Finance & Insurance,,Colombia,1 to 3 years
,Scrum Master,,Facilities & Real Estate,Finance & Insurance,,Colombia,3 to 5 years
,Gerente de Proyectos,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,Director de proyectos,,Quality or Process Excellence,Finance & Insurance,,Colombia,More than 5 years
,Analista de tecnologia,,Facilities & Real Estate,Finance & Insurance,,Colombia,Less than 1 year
,analista,,Facilities & Real Estate,Finance & Insurance,,Colombia,More than 5 years
